"row ID","n","name","pos","x","y","player_id","side","event_id","received_at"
"Row3133",42,"T. Castagne","D",48.3,11.5,834,"away",8384,"2026-07-11T03:01:21.217Z"
"Row3134",62,"N. Ngoy","D",26.1,39.3,1447,"away",8384,"2026-07-11T03:01:21.217Z"
"Row3135",42,"T. Courtois","G",8.7,52.1,585,"away",8384,"2026-07-11T03:01:21.217Z"
"Row3136",14,"A. Witsel","M",40,41.3,1042,"away",8384,"2026-07-11T03:01:21.217Z"
"Row3137",47,"K. De Bruyne","M",46.2,56.7,4374,"away",8384,"2026-07-11T03:01:21.217Z"
"Row3138",59,"B. Mechele","D",29.2,67.6,3537,"away",8384,"2026-07-11T03:01:21.217Z"
"Row3139",61,"J. Doku","M",56.3,75.8,853,"away",8384,"2026-07-11T03:01:21.217Z"
"Row3140",6,"A. Saelemaekers","M",68.7,39.2,1991,"away",8384,"2026-07-11T03:01:21.217Z"
"Row3141",74,"N. Raskin","M",38.1,55.6,3015,"away",8384,"2026-07-11T03:01:21.217Z"
"Row1486",15,"A. Vega","M",62.9,80.8,10406,"home",8287,"2026-07-10T19:01:59.875Z"
"Row1487",94,"J. Vásquez","D",35.8,71.1,2591,"home",8287,"2026-07-10T19:01:59.875Z"
"Row1488",42,"B. Gutiérrez","M",59.6,44.2,9355,"home",8287,"2026-07-10T19:01:59.875Z"
"Row1489",51,"E. Lira","D",40.3,52.8,10043,"home",8287,"2026-07-10T19:01:59.875Z"
"Row1490",43,"Á. Fidalgo","M",53.1,67.7,9008,"home",8287,"2026-07-10T19:01:59.875Z"
"Row1491",20,"E. Álvarez","M",53.4,33,3411,"home",8287,"2026-07-10T19:01:59.875Z"
"Row1492",5,"A. González","F",71.5,45.1,10171,"home",8287,"2026-07-10T19:01:59.875Z"
"Row1493",81,"J. Gallardo","D",46.6,89.7,10088,"home",8287,"2026-07-10T19:01:59.875Z"
"Row1494",61,"I. Reyes","D",43.5,19.3,10107,"home",8287,"2026-07-10T19:01:59.875Z"
"Row1495",41,"R. Jiménez","F",67.1,58,833,"home",8287,"2026-07-10T19:01:59.875Z"
"Row1496",56,"J. Quiñones","F",58.5,73.9,8296,"home",8287,"2026-07-10T19:01:59.875Z"
"Row1497",48,"R. Rangel","G",8,49.9,10161,"home",8287,"2026-07-10T19:01:59.875Z"
"Row1498",62,"R. Alvarado","F",57.7,20.1,10169,"home",8287,"2026-07-10T19:01:59.875Z"
"Row1499",83,"C. Montes","D",33.4,40.9,17092,"home",8287,"2026-07-10T19:01:59.875Z"
"Row1500",24,"G. Mora","M",59.5,53.2,10424,"home",8287,"2026-07-10T19:01:59.875Z"
