"row ID","event_id","sequence","reason","type","minute","away_score","home_score","assist","player","is_home","sequence (#1)","goal_type","player_id","added_time","player_in","player_out","player_in_id","player_out_id","length","card_type","decision","confirmed","is_manager","text","received_at","is_live"
"Row100_11",8387,10,,"goal",58,2,0,"D. Olmo","P. Porro",0,"[ {
  ""pid"" : 2249,
  ""pos"" : {
    ""x"" : 27.4,
    ""y"" : 50.4
  },
  ""event"" : ""ball-touch"",
  ""player"" : ""F. Ruiz""
}, {
  ""end"" : {
    ""x"" : 26.8,
    ""y"" : 48.2
  },
  ""pid"" : 4267,
  ""pos"" : {
    ""x"" : 27.6,
    ""y"" : 42.7
  },
  ""event"" : ""pass"",
  ""player"" : ""Rodri""
}, {
  ""end"" : {
    ""x"" : 26.4,
    ""y"" : 81.2
  },
  ""pid"" : 2249,
  ""pos"" : {
    ""x"" : 27.5,
    ""y"" : 52.1
  },
  ""event"" : ""pass"",
  ""player"" : ""F. Ruiz""
}, {
  ""end"" : {
    ""x"" : 20.5,
    ""y"" : 60.5
  },
  ""pid"" : 719,
  ""pos"" : {
    ""x"" : 24.5,
    ""y"" : 72.8
  },
  ""event"" : ""pass"",
  ""player"" : ""P. Porro""
}, {
  ""end"" : {
    ""x"" : 16.8,
    ""y"" : 66.4
  },
  ""pid"" : 746,
  ""pos"" : {
    ""x"" : 21.2,
    ""y"" : 61.5
  },
  ""event"" : ""pass"",
  ""assist"" : true,
  ""player"" : ""D. Olmo""
}, {
  ""gk"" : {
    ""x"" : 6.2,
    ""y"" : 54.2
  },
  ""gm"" : {
    ""x"" : 63.98,
    ""y"" : 86.33
  },
  ""pid"" : 719,
  ""pos"" : {
    ""x"" : 11.2,
    ""y"" : 57.3
  },
  ""body"" : ""right-foot"",
  ""event"" : ""goal"",
  ""player"" : ""P. Porro""
} ]","regular",719,,,,,,,,,,,,"2026-07-14T21:55:34.182Z",
"Row100_12",8387,11,,"substitution",57,,,,,1,,,,,"D. Doué","B. Barcola",4324,2261,,,,,,,"2026-07-14T21:55:34.182Z",
"Row100_13",8387,12,,"substitution",46,,,,,1,,,,,"M. Koné","A. Rabiot",1064,1994,,,,,,,"2026-07-14T21:55:34.182Z",
"Row100_14",8387,13,,"period",45,1,0,,,,,,,,,,,,,,,,,"HT","2026-07-14T21:55:34.182Z",0
"Row100_15",8387,14,,"injuryTime",45,,,,,,,,,,,,,,6,,,,,,"2026-07-14T21:55:34.182Z",
"Row100_16",8387,15,,"card",31,,,,"M. Cucurella",0,,,386,,,,,,,"yellow",,,,,"2026-07-14T21:55:34.182Z",
"Row100_17",8387,16,,"substitution",30,,,,,1,,,,,"M. Lacroix","W. Saliba",424,3460,,,,,,,"2026-07-14T21:55:34.182Z",
"Row100_18",8387,17,,"goal",22,1,0,,"M. Oyarzabal",0,"[ {
  ""gk"" : {
    ""x"" : 0.5,
    ""y"" : 49.8
  },
  ""gm"" : {
    ""x"" : 72.58,
    ""y"" : 66.33
  },
  ""pid"" : 3890,
  ""pos"" : {
    ""x"" : 11.5,
    ""y"" : 50
  },
  ""body"" : ""left-foot"",
  ""event"" : ""goal"",
  ""player"" : ""M. Oyarzabal""
} ]","penalty",3890,,,,,,,,,,,,"2026-07-14T21:55:34.182Z",
"Row100_19",8387,18,,"card",9,,,,"A. Rabiot",1,,,1994,,,,,,,"yellow",,,,,"2026-07-14T21:55:34.182Z",
"Row99_1",8386,0,,"period",120,1,3,,,,,,,,,,,,,,,,,"ET","2026-07-12T09:01:23.051Z",0
